cycle,ambient_temperature,datetime,capacity,voltage_measured,current_measured,temperature_measured,current_load,voltage_load,time,batteryID,measured_power,load_power,power_difference,average_power,temperature_difference,measured_resistance,load_resistance,voltage_efficiency
45,24,2008-04-02 15:25:00,1.856487421,3.704791772,-2.011144436,30.18676402,-1.9982,2.787,800.484,1,-7.45087135880,-5.5689834,1.88188795880,-6.509927379,6.18676402,-1.84213113,-1.39475528,75.22689996
50,24,2008-04-02 15:25:00,1.856487421,3.685214482,-2.010711081,30.42258867,-1.9982,2.768,891.812,1,-7.40990159482,-5.5310176,1.87888399482,-6.470459597,6.42258867,-1.832791651,-1.385246722,75.11096067
55,24,2008-04-02 15:25:00,1.856487421,3.666733912,-2.012790477,30.65539856,-1.9982,2.749,983.391,1,-7.38036709977,-5.4930518,1.88731529977,-6.43670945,6.65539856,-1.821716644,-1.375738164,74.97135233
77,24,2008-04-02 15:25:00,1.856487421,3.593016664,-2.013851295,31.81138303,-1.9984,2.677,1388.125,1,-7.23580126175,-5.3497168,1.88608446175,-6.292759031,7.81138303,-1.784151925,-1.339571657,74.50563831
78,24,2008-04-02 15:25:00,1.856487421,3.589710094,-2.013554083,31.8692435,-1.9982,2.673,1406.578,1,-7.22807541656,-5.3411886,1.88688681656,-6.284632008,7.8692435,-1.78277312,-1.337703934,74.46283767
85,24,2008-04-02 15:25:00,1.856487421,3.568720666,-2.012227514,32.21984558,-1.9984,2.652,1536.109,1,-7.18107791391,-5.2997568,1.88132111391,-6.240417357,8.21984558,-1.773517478,-1.327061649,74.31234462
90,24,2008-04-02 15:25:00,1.856487421,3.553973588,-2.01347743,32.44708743,-1.9984,2.638,1628.953,1,-7.15584560625,-5.2717792,1.88406640625,-6.213812403,8.44708743,-1.76509234,-1.320056045,74.2267756
97,24,2008-04-02 15:25:00,1.856487421,3.535187043,-2.011051415,32.77991866,-1.9982,2.618,1759.016,1,-7.10944290511,-5.2312876,1.87815530511,-6.170365253,8.77991866,-1.757879991,-1.310179161,74.05548754
98,24,2008-04-02 15:25:00,1.856487421,3.532508941,-2.012815244,32.8218147,-1.9982,2.616,1777.641,1,-7.11028784601,-5.2272912,1.88299664601,-6.168789523,8.8218147,-1.755009036,-1.30917826,74.05501426
102,24,2008-04-02 15:25:00,1.856487421,3.522603357,-2.011997708,32.98375622,-1.9982,2.606,1852.391,1,-7.08746988048,-5.2073092,1.88016068048,-6.14738954,8.98375622,-1.750798892,-1.304173756,73.9793765
103,24,2008-04-02 15:25:00,1.856487421,3.520112779,-2.011265055,33.02815748,-1.9982,2.603,1871.078,1,-7.07987982206,-5.2013146,1.87856522206,-6.140597211,9.02815748,-1.750198349,-1.302672405,73.94649443
104,24,2008-04-02 15:25:00,1.856487421,3.517968946,-2.010186981,33.06736385,-1.9982,2.6,1889.844,1,-7.07177537481,-5.19532,1.87645537481,-6.133547687,9.06736385,-1.750070506,-1.301171054,73.90628058
106,24,2008-04-02 15:25:00,1.856487421,3.51328369,-2.013595479,33.16027948,-1.9982,2.596,1927.281,1,-7.07433215463,-5.1873272,1.88700495463,-6.130829677,9.16027948,-1.744781276,-1.299169252,73.89098715
111,24,2008-04-02 15:25:00,1.856487421,3.502786369,-2.015082746,33.35414354,-1.9982,2.585,2021.187,1,-7.05840437510,-5.165347,1.89305737510,-6.111875688,9.35414354,-1.738284135,-1.293664298,73.79839156
113,24,2008-04-02 15:25:00,1.856487421,3.498840325,-2.015339954,33.44167147,-1.9984,2.581,2058.641,1,-7.05135269964,-5.1578704,1.89348229964,-6.10461155,9.44167147,-1.736104283,-1.291533227,73.76729888
114,24,2008-04-02 15:25:00,1.856487421,3.496510092,-2.011784604,33.48501454,-1.9982,2.579,2077.406,1,-7.03422517082,-5.1533578,1.88086737082,-6.093791485,9.48501454,-1.738014142,-1.290661595,73.75926087
118,24,2008-04-02 15:25:00,1.856487421,3.488848633,-2.01229054,33.66266785,-1.9982,2.571,2152.812,1,-7.02057709968,-5.1373722,1.88320489968,-6.07897465,9.66266785,-1.733769833,-1.286657992,73.69193308
120,24,2008-04-02 15:25:00,1.856487421,3.484995872,-2.011624701,33.77033765,-1.9982,2.567,2190.547,1,-7.01050377900,-5.1293794,1.88112437900,-6.069941589,9.77033765,-1.732428455,-1.284656191,73.65862383
122,24,2008-04-02 15:25:00,1.856487421,3.480996353,-2.01193091,33.85394213,-1.9982,2.563,2228.297,1,-7.00352416020,-5.1213866,1.88213756020,-6.06245538,9.85394213,-1.730176884,-1.282654389,73.62834488
125,24,2008-04-02 15:25:00,1.856487421,3.475310541,-2.013217761,34.00238376,-1.9982,2.557,2284.937,1,-6.99655690613,-5.1093974,1.88715950613,-6.052977153,10.00238376,-1.726246712,-1.279651687,73.57615873
128,24,2008-04-02 15:25:00,1.856487421,3.46915804,-2.011944383,34.14088477,-1.9984,2.551,2341.766,1,-6.97975303232,-5.0979184,1.88183463232,-6.038835716,10.14088477,-1.724281282,-1.276521217,73.53369234
129,24,2008-04-02 15:25:00,1.856487421,3.467157994,-2.012427485,34.19289487,-1.9984,2.549,2360.594,1,-6.97740404196,-5.0939216,1.88348244196,-6.035662821,10.19289487,-1.722873505,-1.275520416,73.51842646
132,24,2008-04-02 15:25:00,1.856487421,3.460765705,-2.013968219,34.3476222,-1.9982,2.542,2417.797,1,-6.96987214328,-5.0794244,1.89044774328,-6.024648272,10.3476222,-1.718381488,-1.27214493,73.45195303
136,24,2008-04-02 15:25:00,1.856487421,3.451590712,-2.008709347,34.57901218,-1.9984,2.534,2494.031,1,-6.93324252521,-5.0639456,1.86929692521,-5.998594063,10.57901218,-1.718312665,-1.268014412,73.41542528
140,24,2008-04-02 15:25:00,1.856487421,3.441861048,-2.011119044,34.83680518,-1.9982,2.524,2570.578,1,-6.92199230043,-5.0434568,1.87853550043,-5.98272455,10.83680518,-1.71141587,-1.263136823,73.33242001
143,24,2008-04-02 15:25:00,1.856487421,3.433670809,-2.013890141,35.03904431,-1.9982,2.516,2627.953,1,-6.91503578968,-5.0274712,1.88756458968,-5.971253495,11.03904431,-1.7049941,-1.25913322,73.27435098
144,24,2008-04-02 15:25:00,1.856487421,3.43089658,-2.01266874,35.09556779,-1.9984,2.513,2647.234,1,-6.90525829674,-5.0219792,1.88327909674,-5.963618748,11.09556779,-1.704650404,-1.257506005,73.24616005
146,24,2008-04-02 15:25:00,1.856487421,3.424844059,-2.011096829,35.24659147,-1.9982,2.507,2685.812,1,-6.88769302687,-5.0094874,1.87820562687,-5.948590213,11.24659147,-1.702973228,-1.254629166,73.20041312
150,24,2008-04-02 15:25:00,1.856487421,3.411776009,-2.009914541,35.54801733,-1.9982,2.494,2762.625,1,-6.85737821112,-4.9835108,1.87386741112,-5.920444506,11.54801733,-1.697473171,-1.248123311,73.09975782
159,24,2008-04-02 15:25:00,1.856487421,3.370451681,-2.013057211,36.22620797,-1.9982,2.454,2936.687,1,-6.78491206076,-4.9035828,1.88132926076,-5.84424743,12.22620797,-1.674295029,-1.228105295,72.80923248
165,24,2008-04-02 15:25:00,1.856487421,3.318207906,-2.010068542,36.76747018,-1.9982,2.405,3053.375,1,-6.66982532767,-4.805671,1.86415432767,-5.737748164,12.76747018,-1.650793412,-1.203583225,72.47888222
181,24,2008-04-02 15:25:00,1.856487421,2.998125197,-0.004200625,38.98218133,-0.0004,0,3366.781,1,-0.01259399966,0,0.01259399966,-0.006297,14.98218133,-713.7331223,0,0
184,24,2008-04-02 15:25:00,1.856487421,3.148652707,-0.001231366,38.11900862,-0.0006,0,3426.625,1,-0.00387714389,0,0.00387714389,-0.001938572,14.11900862,-2557.040479,0,0
187,24,2008-04-02 15:25:00,1.856487421,3.206036132,-0.003069055,37.11174648,-0.0006,0,3487.078,1,-0.00983950122,0,0.00983950122,-0.004919751,13.11174648,-1044.633,0,0
198,24,2008-04-02 19:43:00,1.84632725,4.189773214,0.0000213,24.69775194,-0.0006,0,0,1,0.00008924217,0,0.00008924217,4.46211E-05,0.69775194,196702.9678,0,0
199,24,2008-04-02 19:43:00,1.84632725,4.18888138,-0.000879471,24.68594816,-0.0006,4.204,16.672,1,-0.00368399970,-0.0025224,0.00116159970,-0.0031032,0.68594816,-4762.955663,-7006.666667,100.3609226
202,24,2008-04-02 19:43:00,1.84632725,3.940053839,-2.012797052,25.08475005,-1.9984,3.003,71.891,1,-7.93052875186,-6.0011952,1.92933355186,-6.965861976,1.08475005,-1.957501793,-1.502702162,76.21723262
205,24,2008-04-02 19:43:00,1.84632725,3.903873088,-2.01258002,25.64589582,-1.9982,2.963,126.391,1,-7.85685697752,-5.9206666,1.93619037752,-6.888761789,1.64589582,-1.939735588,-1.482834551,75.89898373
207,24,2008-04-02 19:43:00,1.84632725,3.886131362,-2.009706262,26.02527077,-1.9982,2.946,162.719,1,-7.80998253317,-5.8866972,1.92328533317,-6.848339867,2.02527077,-1.933681272,-1.474326894,75.80803955
214,24,2008-04-02 19:43:00,1.84632725,3.838825966,-2.013136993,27.25573552,-1.9982,2.901,290.063,1,-7.72808256184,-5.7967782,1.93130436184,-6.762430381,3.25573552,-1.906887598,-1.451806626,75.56997962
226,24,2008-04-02 19:43:00,1.84632725,3.777883322,-2.012486481,29.0500581,-1.9982,2.844,508.516,1,-7.60293911232,-5.6828808,1.92005831232,-6.642909956,5.0500581,-1.877221714,-1.423280953,75.28024975
227,24,2008-04-02 19:43:00,1.84632725,3.77278907,-2.010672386,29.17673996,-1.9982,2.839,526.641,1,-7.58584280125,-5.6728898,1.91295300125,-6.629366301,5.17673996,-1.8763818,-1.420778701,75.24936982
238,24,2008-04-02 19:43:00,1.84632725,3.72502104,-2.012501578,30.1488277,-1.9982,2.793,727.047,1,-7.49661072108,-5.5809726,1.91563812108,-6.538791661,6.1488277,-1.85094068,-1.397757982,74.97944226
239,24,2008-04-02 19:43:00,1.84632725,3.720898812,-2.011869819,30.20981101,-1.9982,2.789,745.266,1,-7.48596401942,-5.5729798,1.91298421942,-6.52947191,6.20981101,-1.849472951,-1.395756181,74.95500794
261,24,2008-04-02 19:43:00,1.84632725,3.639584767,-2.009007138,31.28447416,-1.9982,2.709,1148.75,1,-7.31195177626,-5.4131238,1.89882797626,-6.362537788,7.28447416,-1.811633567,-1.355720148,74.4315677
263,24,2008-04-02 19:43:00,1.84632725,3.632672932,-2.013450843,31.38460322,-1.9984,2.703,1185.438,1,-7.31420837728,-5.4016752,1.91253317728,-6.357941789,7.38460322,-1.804202444,-1.352582066,74.40801995
271,24,2008-04-02 19:43:00,1.84632725,3.606263031,-2.011376179,31.81423239,-1.9982,2.677,1332.766,1,-7.25355155576,-5.3491814,1.90437015576,-6.301366478,7.81423239,-1.792933151,-1.339705735,74.23196747
272,24,2008-04-02 19:43:00,1.84632725,3.6032073,-2.012797593,31.8599924,-1.9982,2.673,1351.235,1,-7.25252698052,-5.3411886,1.91133838052,-6.29685779,7.8599924,-1.790148852,-1.337703934,74.18390832
273,24,2008-04-02 19:43:00,1.84632725,3.60010995,-2.011987023,31.91161045,-1.9984,2.671,1369.688,1,-7.24337450077,-5.3377264,1.90564810077,-6.29055045,7.91161045,-1.789330601,-1.336569255,74.19217849
275,24,2008-04-02 19:43:00,1.84632725,3.59394366,-2.011831443,32.01266488,-1.9984,2.664,1406.61,1,-7.23040885956,-5.3237376,1.90667125956,-6.27707323,8.01266488,-1.786403962,-1.333066453,74.12470122
286,24,2008-04-02 19:43:00,1.84632725,3.560993802,-2.013146535,32.54570984,-1.9982,2.632,1610.532,1,-7.16880233365,-5.2592624,1.90953993365,-6.214032367,8.54570984,-1.768869648,-1.317185467,73.91195117
287,24,2008-04-02 19:43:00,1.84632725,3.558332331,-2.012753613,32.58870379,-1.9982,2.63,1629.235,1,-7.16204625547,-5.255266,1.90678025547,-6.208656128,8.58870379,-1.767892656,-1.316184566,73.91102785
298,24,2008-04-02 19:43:00,1.84632725,3.529649103,-2.011900775,33.07369784,-1.9982,2.601,1834.297,1,-7.10130376580,-5.1973182,1.90398556580,-6.149310983,9.07369784,-1.754385279,-1.301671504,73.69004465
299,24,2008-04-02 19:43:00,1.84632725,3.527203286,-2.014562013,33.12214836,-1.9982,2.598,1852.953,1,-7.10576975210,-5.1913236,1.91444615210,-6.148546676,9.12214836,-1.750853666,-1.300170153,73.65608924
301,24,2008-04-02 19:43:00,1.84632725,3.52258568,-2.012587351,33.20414012,-1.9982,2.594,1890.313,1,-7.08951138238,-5.1833308,1.90618058238,-6.136421091,9.20414012,-1.750277163,-1.298168352,73.63908889
302,24,2008-04-02 19:43:00,1.84632725,3.520087433,-2.011695151,33.25530697,-1.9982,2.591,1909.172,1,-7.08134282006,-5.1773362,1.90400662006,-6.12933951,9.25530697,-1.749811561,-1.296667,73.60612625
305,24,2008-04-02 19:43:00,1.84632725,3.513887109,-2.013542898,33.38949288,-1.9982,2.585,1965.407,1,-7.07536243270,-5.165347,1.91001543270,-6.120354716,9.38949288,-1.745126519,-1.293664298,73.56525465
307,24,2008-04-02 19:43:00,1.84632725,3.509486566,-2.013179796,33.4734667,-1.9982,2.581,2002.907,1,-7.06522744900,-5.1573542,1.90787324900,-6.111290825,9.4734667,-1.743255408,-1.291662496,73.54352129
308,24,2008-04-02 19:43:00,1.84632725,3.507354077,-2.013720594,33.52014984,-1.9982,2.579,2021.625,1,-7.06283113530,-5.1533578,1.90947333530,-6.108094468,9.52014984,-1.741728265,-1.290661595,73.53121308
309,24,2008-04-02 19:43:00,1.84632725,3.505496359,-2.014673824,33.55345394,-1.9982,2.577,2040.36,1,-7.06243175460,-5.1493614,1.91307035460,-6.105896577,9.55345394,-1.739982084,-1.289660695,73.51312727
310,24,2008-04-02 19:43:00,1.84632725,3.503701823,-2.011250465,33.59812128,-1.9982,2.575,2059.078,1,-7.04682192073,-5.145365,1.90145692073,-6.09609346,9.59812128,-1.742051467,-1.288659794,73.49369695
315,24,2008-04-02 19:43:00,1.84632725,3.494290913,-2.015459207,33.83241732,-1.9982,2.565,2153.563,1,-7.04260079254,-5.125383,1.91721779254,-6.083991896,9.83241732,-1.7337443,-1.28365529,73.40545089
318,24,2008-04-02 19:43:00,1.84632725,3.488823824,-2.011526474,33.9786688,-1.9982,2.56,2210.11,1,-7.01786148510,-5.115392,1.90246948510,-6.066626743,9.9786688,-1.734416061,-1.281153038,73.3771646
324,24,2008-04-02 19:43:00,1.84632725,3.47700335,-2.013541627,34.2796264,-1.9982,2.548,2323.985,1,-7.00109098244,-5.0914136,1.90967738244,-6.046252291,10.2796264,-1.726809768,-1.275147633,73.28149396
327,24,2008-04-02 19:43:00,1.84632725,3.471119525,-2.012465416,34.44080223,-1.9982,2.542,2381.125,1,-6.98550799886,-5.0794244,1.90608359886,-6.032466199,10.44080223,-1.724809528,-1.27214493,73.23285706
329,24,2008-04-02 19:43:00,1.84632725,3.467024424,-2.011902302,34.54711962,-1.9984,2.538,2419.063,1,-6.97531441974,-5.0719392,1.90337521974,-6.02362681,10.54711962,-1.72325685,-1.270016013,73.20398387
350,24,2008-04-02 19:43:00,1.84632725,3.406917659,-2.011765084,35.95469592,-1.9982,2.48,2821.641,1,-6.85391799044,-4.955536,1.89838199044,-5.904726995,11.95469592,-1.693496764,-1.241117005,72.79307128
351,24,2008-04-02 19:43:00,1.84632725,3.402555164,-2.010536776,36.01720016,-1.9982,2.475,2840.922,1,-6.84096228959,-4.945545,1.89541728959,-5.893253645,12.01720016,-1.692361565,-1.238614753,72.73945258
352,24,2008-04-02 19:43:00,1.84632725,3.397827644,-2.009484003,36.09766466,-1.9982,2.47,2860.407,1,-6.82788029557,-4.935554,1.89232629557,-5.881717148,12.09766466,-1.690895593,-1.236112501,72.69350476
356,24,2008-04-02 19:43:00,1.84632725,3.376195915,-2.00923606,36.41292529,-1.9982,2.45,2937.922,1,-6.78357457804,-4.89559,1.88798457804,-5.839582289,12.41292529,-1.680338106,-1.226103493,72.56687887
362,24,2008-04-02 19:43:00,1.84632725,3.321325527,-2.01063897,36.94157017,-1.9982,2.398,3054.578,1,-6.67798653664,-4.7916836,1.88630293664,-5.734835068,12.94157017,-1.651875636,-1.200080072,72.20008941
368,24,2008-04-02 19:43:00,1.84632725,3.198103237,-2.012294521,37.60778226,-1.9982,2.285,3171.766,1,-6.43552562141,-4.565887,1.86963862141,-5.500706311,13.60778226,-1.589281889,-1.143529176,71.44860033
370,24,2008-04-02 19:43:00,1.84632725,3.12795141,-2.011634022,37.88698835,-1.9982,2.221,3210.703,1,-6.29229347552,-4.4380022,1.85429127552,-5.365147838,13.88698835,-1.554930656,-1.11150035,71.0049393
379,24,2008-04-02 19:43:00,1.84632725,3.117236759,0.000486651,38.49693582,-0.0006,0,3388.735,1,0.00151700639,0,0.00151700639,0.000758503,14.49693582,6405.487216,0,0
381,24,2008-04-02 19:43:00,1.84632725,3.180002601,-0.000282668,37.86912734,-0.0006,0.001,3428.719,1,-0.00089888498,-0.0000006,0.00089828498,-0.000449742,13.86912734,-11249.95614,-1.666666667,0.031446515
383,24,2008-04-02 19:43:00,1.84632725,3.217699876,0.001348747,37.21733862,-0.0006,0,3468.953,1,0.00433986305,0,0.00433986305,0.002169932,13.21733862,2385.695669,0,0
385,24,2008-04-02 19:43:00,1.84632725,3.244252189,-0.000895234,36.58593664,-0.0006,0,3509.61,1,-0.00290436486,0,0.00290436486,-0.001452182,12.58593664,-3623.915299,0,0
392,24,2008-04-02 19:43:00,1.84632725,3.295609142,-0.001675577,34.64156285,-0.0006,0,3651.875,1,-0.00552204688,0,0.00552204688,-0.002761023,10.64156285,-1966.85031,0,0
395,24,2008-04-03 00:01:00,1.835349194,4.187198338,-0.001791648,24.74050015,-0.0006,4.203,16.797,1,-0.00750198553,-0.0025218,0.00498018553,-0.005011893,0.74050015,-2337.065282,-7005,100.3773803
402,24,2008-04-03 00:01:00,1.835349194,3.896625989,-2.012096176,25.87532877,-1.9982,2.953,144.828,1,-7.84038625177,-5.9006846,1.93970165177,-6.870535426,1.87532877,-1.936600266,-1.477830047,75.78351138
417,24,2008-04-03 00:01:00,1.835349194,3.804723754,-2.014806779,28.34071748,-1.9982,2.865,417.234,1,-7.66578321178,-5.724843,1.94094021178,-6.695313106,4.34071748,-1.888381454,-1.433790411,75.30113052
420,24,2008-04-03 00:01:00,1.835349194,3.789657335,-2.01270043,28.77007099,-1.9982,2.851,471.844,1,-7.62744494771,-5.6968682,1.93057674771,-6.662156574,4.77007099,-1.882872025,-1.426784106,75.23107627
424,24,2008-04-03 00:01:00,1.835349194,3.770091691,-2.016383938,29.27528239,-1.9982,2.833,544.75,1,-7.60195233052,-5.6609006,1.94105173052,-6.631426465,5.27528239,-1.869729083,-1.417775998,75.144061
437,24,2008-04-03 00:01:00,1.835349194,3.71458622,-2.010305673,30.25016749,-1.9982,2.779,781.937,1,-7.46745375091,-5.5529978,1.91445595091,-6.510225775,6.25016749,-1.847771844,-1.390751677,74.81317798
445,24,2008-04-03 00:01:00,1.835349194,3.683723977,-2.012348026,30.61119379,-1.9982,2.748,928.641,1,-7.41293467344,-5.4910536,1.92188107344,-6.451994137,6.61119379,-1.830560087,-1.375237714,74.59842315
448,24,2008-04-03 00:01:00,1.835349194,3.67245746,-2.014172559,30.74720493,-1.9982,2.737,983.781,1,-7.39696304003,-5.4690734,1.92788964003,-6.43301822,6.74720493,-1.823308258,-1.369732759,74.52775232
465,24,2008-04-03 00:01:00,1.835349194,3.614049324,-2.014341394,31.65860529,-1.9982,2.679,1296.266,1,-7.27992915329,-5.3531778,1.92675135329,-6.316553477,7.65860529,-1.794159289,-1.340706636,74.1273779
467,24,2008-04-03 00:01:00,1.835349194,3.607586017,-2.012883529,31.7597358,-1.9982,2.673,1333.203,1,-7.26165047307,-5.3411886,1.92046187307,-6.301419537,7.7597358,-1.79224777,-1.337703934,74.09386741
474,24,2008-04-03 00:01:00,1.835349194,3.585537455,-2.012556105,32.11096826,-1.9982,2.652,1462.781,1,-7.21609529477,-5.2992264,1.91686889477,-6.257660847,8.11096826,-1.781583851,-1.327194475,73.96380691
477,24,2008-04-03 00:01:00,1.835349194,3.576821795,-2.013118341,32.2518831,-1.9982,2.643,1518.484,1,-7.20056555800,-5.2812426,1.91932295800,-6.240904079,8.2518831,-1.776756846,-1.322690421,73.89241487
478,24,2008-04-03 00:01:00,1.835349194,3.573858553,-2.012763983,32.30524388,-1.9982,2.64,1537.094,1,-7.19333377581,-5.275248,1.91808577581,-6.234290888,8.30524388,-1.775597429,-1.32118907,73.86973941
482,24,2008-04-03 00:01:00,1.835349194,3.562154708,-2.014601328,32.48920918,-1.9982,2.629,1611.266,1,-7.17632160528,-5.2532678,1.92305380528,-6.214794703,8.48920918,-1.76816855,-1.315684116,73.80364458
486,24,2008-04-03 00:01:00,1.835349194,3.551079239,-2.013124068,32.65963702,-1.9982,2.618,1685.516,1,-7.14876308341,-5.2312876,1.91747548341,-6.190025342,8.65963702,-1.763964425,-1.310179161,73.72406595
492,24,2008-04-03 00:01:00,1.835349194,3.535702734,-2.011580617,32.92893445,-1.9982,2.602,1797.547,1,-7.11235108719,-5.1993164,1.91303468719,-6.155833744,8.92893445,-1.757673893,-1.302171955,73.59215963
499,24,2008-04-03 00:01:00,1.835349194,3.519505276,-2.013312975,33.24039368,-1.9982,2.586,1928.687,1,-7.08586563775,-5.1673452,1.91852043775,-6.126605419,9.24039368,-1.748116324,-1.294164748,73.47623593
500,24,2008-04-03 00:01:00,1.835349194,3.517057405,-2.014470724,33.28325317,-1.9984,2.584,1947.344,1,-7.08500917700,-5.1638656,1.92114357700,-6.124437388,9.28325317,-1.745896509,-1.293034428,73.47050965
506,24,2008-04-03 00:01:00,1.835349194,3.504967278,-2.01094631,33.54370078,-1.9982,2.572,2059.766,1,-7.04830101436,-5.1393704,1.90893061436,-6.093835707,9.54370078,-1.742944235,-1.287158443,73.38156953
509,24,2008-04-03 00:01:00,1.835349194,3.499242474,-2.01210337,33.67799489,-1.9982,2.566,2116.094,1,-7.04083757438,-5.1273812,1.91345637438,-6.084109387,9.67799489,-1.739096771,-1.28415574,73.330157
511,24,2008-04-03 00:01:00,1.835349194,3.495531812,-2.011547683,33.77489541,-1.9984,2.562,2153.719,1,-7.03142891728,-5.1199008,1.91152811728,-6.075664859,9.77489541,-1.737732514,-1.28202562,73.29356841
513,24,2008-04-03 00:01:00,1.835349194,3.491639811,-2.013028291,33.88136367,-1.9982,2.558,2191.609,1,-7.02876972152,-5.1113956,1.91737412152,-6.070082661,9.88136367,-1.734520983,-1.280152137,73.26070667
514,24,2008-04-03 00:01:00,1.835349194,3.489931199,-2.012936524,33.91775559,-1.9982,2.556,2210.516,1,-7.02500997671,-5.1073992,1.91761077671,-6.066204588,9.91775559,-1.733751242,-1.279151236,73.23926617
517,24,2008-04-03 00:01:00,1.835349194,3.484150924,-2.010830959,34.06412346,-1.9982,2.551,2267.469,1,-7.00603854381,-5.0974082,1.90863034381,-6.051723372,10.06412346,-1.732692103,-1.276648984,73.21726457
518,24,2008-04-03 00:01:00,1.835349194,3.482607308,-2.011340102,34.12434488,-1.9982,2.549,2286.406,1,-7.00470773810,-5.0934118,1.91129593810,-6.049059769,10.12434488,-1.73148604,-1.275648083,73.19228884
520,24,2008-04-03 00:01:00,1.835349194,3.47846676,-2.013492226,34.22243343,-1.9982,2.545,2324.281,1,-7.00386577966,-5.085419,1.91844677966,-6.04464239,10.22243343,-1.727578937,-1.273646282,73.16441914
523,24,2008-04-03 00:01:00,1.835349194,3.47237078,-2.010971272,34.37950019,-1.9982,2.54,2381.203,1,-6.98283788431,-5.075428,1.90740988431,-6.029132942,10.37950019,-1.72671327,-1.27114403,73.14887035
542,24,2008-04-03 00:01:00,1.835349194,3.422712541,-2.012376358,35.61407792,-1.9982,2.49,2744.562,1,-6.88778579774,-4.975518,1.91226779774,-5.931651899,11.61407792,-1.700831222,-1.246121509,72.7493171
549,24,2008-04-03 00:01:00,1.835349194,3.393344986,-2.012762656,36.13576869,-1.9982,2.462,2879.719,1,-6.82999806675,-4.9195684,1.91042966675,-5.874783233,12.13576869,-1.685914122,-1.232108898,72.55377836
550,24,2008-04-03 00:01:00,1.835349194,3.387797305,-2.009271443,36.2117952,-1.9982,2.456,2899.25,1,-6.80700437961,-4.9075792,1.89942517961,-5.85729179,12.2117952,-1.686082444,-1.229106196,72.49548243
551,24,2008-04-03 00:01:00,1.835349194,3.38181026,-2.011691541,36.29656972,-1.9982,2.451,2918.703,1,-6.80315909331,-4.8975882,1.90557089331,-5.850373647,12.29656972,-1.681077934,-1.226603944,72.47597622
561,24,2008-04-03 00:01:00,1.835349194,3.263900635,-2.012195945,37.24533343,-1.9982,2.342,3113.25,1,-6.56760762263,-4.6797844,1.88782322263,-5.623696011,13.24533343,-1.622059046,-1.172054849,71.75463539
563,24,2008-04-03 00:01:00,1.835349194,3.213823788,-2.012806403,37.47391881,-1.9982,2.296,3152.531,1,-6.46880509860,-4.5878672,1.88093789860,-5.528336149,13.47391881,-1.596687979,-1.149034131,71.44137798
565,24,2008-04-03 00:01:00,1.835349194,3.146813449,-2.008818045,37.73359048,-1.9982,2.234,3191.734,1,-6.32137564060,-4.4639788,1.85739684060,-5.39267722,13.73359048,-1.566499991,-1.118006206,70.99245113
